Altium Designer Pick and Place Locations
S:\Jobs\1166V10\Produce\Prints\Pick Place for 1166V10(Variant V10).csv

========================================================================================================================
File Design Information:

Date:       15.01.21
Time:       15:53
Revision:   Not in VersionControl
Variant:    Variant V10
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C522","1µF/630V","BottomLayer","2220-Cap","119.3000","60.9500","90","Capacitor (SMD)"
"C521","1µF/630V","BottomLayer","2220-Cap","53.8500","55.4000","180","Capacitor (SMD)"
"C523","1µF/630V","BottomLayer","2220-Cap","94.3000","60.8500","90","Capacitor (SMD)"
"C228","100nF","TopLayer","0603-Cap","40.6000","53.1500","270","Capacitor (SMD)"
"TP106","Test-Point","TopLayer","PAD-1.0/1.8","21.1000","51.9000","90","PAD"
"TP105","Test-Point","TopLayer","PAD-1.0/1.8","21.1000","54.4400","90","PAD"
"TP104","Test-Point","TopLayer","PAD-1.0/1.8","21.1000","56.9800","90","PAD"
"TP103","Test-Point","TopLayer","PAD-1.0/1.8","21.1000","59.5200","90","PAD"
"TP102","Test-Point","TopLayer","PAD-1.0/1.8","21.1000","62.0600","90","PAD"
"TP101","Test-Point","TopLayer","PAD-1.0/1.8","21.1000","64.6000","90","PAD"
"D406","GB01SLT12-214","BottomLayer","DO-214_(SMB)","68.7000","18.4700","90","Silicon Carbide Schottky Diode Vr=1200V If=1A"
"D401","GB01SLT12-214","BottomLayer","DO-214_(SMB)","70.6000","34.0300","90","Silicon Carbide Schottky Diode Vr=1200V If=1A"
"D306","GB01SLT12-214","BottomLayer","DO-214_(SMB)","95.7000","18.4700","90","Silicon Carbide Schottky Diode Vr=1200V If=1A"
"D301","GB01SLT12-214","BottomLayer","DO-214_(SMB)","97.6000","34.1300","90","Silicon Carbide Schottky Diode Vr=1200V If=1A"
"D206","GB01SLT12-214","BottomLayer","DO-214_(SMB)","122.7000","18.4700","90","Silicon Carbide Schottky Diode Vr=1200V If=1A"
"D201","GB01SLT12-214","BottomLayer","DO-214_(SMB)","127.0700","37.0000","180","Silicon Carbide Schottky Diode Vr=1200V If=1A"
"IC113","SN74LVC2G14DBV","TopLayer","SOT-23-6","17.3954","53.5475","90","Dual Inverter with Schmitt Trigger Input"
"IC111","SN74LVC2G17DBV","TopLayer","SOT-23-6","8.3954","54.5475","270","Dual Buffer with Schmitt Trigger Input"
"IC110","SN74AUP2G08DCUR","TopLayer","VSSOP-8","12.9250","54.7500","270","(VSSOP) Dual 2-Input Positive AND Gate"
"IC108","SN74LVC2G14DBV","TopLayer","SOT-23-6","17.3954","58.2475","90","Dual Inverter with Schmitt Trigger Input"
"IC107","SN74LVC2G17DBV","TopLayer","SOT-23-6","8.4954","59.2475","270","Dual Buffer with Schmitt Trigger Input"
"IC106","SN74AUP2G08DCUR","TopLayer","VSSOP-8","13.0250","59.4500","270","(VSSOP) Dual 2-Input Positive AND Gate"
"IC104","SN74LVC2G14DBV","TopLayer","SOT-23-6","17.3954","62.9475","90","Dual Inverter with Schmitt Trigger Input"
"IC103","SN74LVC2G17DBV","TopLayer","SOT-23-6","8.4954","63.9475","270","Dual Buffer with Schmitt Trigger Input"
"IC102","SN74AUP2G08DCUR","TopLayer","VSSOP-8","13.0250","64.1500","270","(VSSOP) Dual 2-Input Positive AND Gate"
"CF112","100nF","TopLayer","0603-Cap","8.5500","61.6000","180","Capacitor (SMD)"
"CF111","100nF","TopLayer","0603-Cap","8.5500","56.9000","180","Capacitor (SMD)"
"CF110","100nF","TopLayer","0603-Cap","8.4500","52.2000","180","Capacitor (SMD)"
"CF109","100nF","TopLayer","0603-Cap","13.5500","66.0000","180","Capacitor (SMD)"
"CF108","100nF","TopLayer","0603-Cap","13.5500","61.4000","180","Capacitor (SMD)"
"CF107","100nF","TopLayer","0603-Cap","13.4500","56.7000","180","Capacitor (SMD)"
"CF106","100nF","TopLayer","0603-Cap","17.5500","51.2000","360","Capacitor (SMD)"
"CF105","100nF","TopLayer","0603-Cap","17.4500","55.9000","360","Capacitor (SMD)"
"CF104","100nF","TopLayer","0603-Cap","17.3500","60.6000","360","Capacitor (SMD)"
"L101","600R@100MHz 1A","TopLayer","0603-Ind","40.4000","95.6500","90","Ferrite SMD 600R@100MHz 1A (0603)"
"IC112","LTC6655BHMS8-2.5","TopLayer","MSOP-8_(RM-8)","47.0000","95.5750","270","Voltage References 2,5V, 2ppm/°C, Low Noise 0,25ppm"
"CF514","100nF","TopLayer","0603-Cap","98.2000","92.1500","270","Capacitor (SMD)"
"CF513","100nF","TopLayer","0603-Cap","96.9000","92.1500","270","Capacitor (SMD)"
"CF512","100nF","TopLayer","0603-Cap","74.3000","91.8500","270","Capacitor (SMD)"
"CF511","100nF","TopLayer","0603-Cap","73.0000","91.8500","270","Capacitor (SMD)"
"CF510","100nF","TopLayer","0603-Cap","122.3000","92.2500","270","Capacitor (SMD)"
"CF509","100nF","TopLayer","0603-Cap","121.0000","92.2500","270","Capacitor (SMD)"
"CF508","100nF","TopLayer","0603-Cap","51.8000","89.3500","270","Capacitor (SMD)"
"CF507","100nF","TopLayer","0603-Cap","50.5000","89.3500","270","Capacitor (SMD)"
"CF502","100nF","BottomLayer","0603-Cap","135.1000","85.9500","90","Capacitor (SMD)"
"CF501","100nF","BottomLayer","0603-Cap","133.8000","85.9500","90","Capacitor (SMD)"
"CF408","100nF","BottomLayer","0603-Cap","63.6000","90.1500","90","Capacitor (SMD)"
"CF407","100nF","BottomLayer","0603-Cap","62.3000","92.3500","90","Capacitor (SMD)"
"CF308","100nF","BottomLayer","0603-Cap","87.3000","90.2500","90","Capacitor (SMD)"
"CF307","100nF","BottomLayer","0603-Cap","86.0000","90.2500","90","Capacitor (SMD)"
"CF211","100nF","BottomLayer","0603-Cap","111.5000","90.2500","90","Capacitor (SMD)"
"CF210","100nF","BottomLayer","0603-Cap","110.2000","90.2500","90","Capacitor (SMD)"
"C105","47µF/10V","TopLayer","1210-Cap","54.3000","94.2500","90","Capacitor (SMD)"
"C104","100nF","TopLayer","0603-Cap","50.5000","95.0500","90","Capacitor (SMD)"
"C103","2µ2F/10V","TopLayer","0805-Cap","52.0000","94.8000","90","Capacitor (SMD)"
"C102","100nF","TopLayer","0603-Cap","43.5000","95.6500","90","Capacitor (SMD)"
"C101","10µF/10V","TopLayer","0805-Cap","42.0000","95.4000","90","Capacitor (SMD)"
"R547","2K","BottomLayer","0603-Res","97.6500","96.6000","360","Resistor SMD"
"R546","49R9","BottomLayer","0603-Res","91.4000","92.3500","90","Resistor SMD"
"R545","1K","BottomLayer","0603-Res","94.1000","92.8500","90","Resistor SMD"
"R544","49R9","BottomLayer","0603-Res","100.9000","92.8500","270","Resistor SMD"
"R543","49R9","BottomLayer","0603-Res","91.4000","89.4500","90","Resistor SMD"
"R542","1K","BottomLayer","0603-Res","94.1000","89.6500","270","Resistor SMD"
"R541","49R9","BottomLayer","0603-Res","100.9000","89.6500","90","Resistor SMD"
"R540","2K","BottomLayer","0603-Res","73.7500","96.3000","360","Resistor SMD"
"R539","2K","BottomLayer","0603-Res","97.5500","85.9000","360","Resistor SMD"
"R538","49R9","BottomLayer","0603-Res","67.6000","92.0500","90","Resistor SMD"
"R537","1K","BottomLayer","0603-Res","70.3000","92.5500","90","Resistor SMD"
"R536","49R9","BottomLayer","0603-Res","77.1000","92.5500","270","Resistor SMD"
"R535","2K","BottomLayer","0603-Res","121.7500","96.7000","360","Resistor SMD"
"R534","49R9","BottomLayer","0603-Res","67.6000","89.1500","90","Resistor SMD"
"R533","1K","BottomLayer","0603-Res","70.3000","89.3500","270","Resistor SMD"
"R532","49R9","BottomLayer","0603-Res","77.1000","89.3500","90","Resistor SMD"
"R531","49R9","BottomLayer","0603-Res","115.6000","92.7500","90","Resistor SMD"
"R530","1K","BottomLayer","0603-Res","118.3000","92.9500","90","Resistor SMD"
"R529","49R9","BottomLayer","0603-Res","125.0700","92.9500","270","Resistor SMD"
"R528","2K","BottomLayer","0603-Res","73.7500","85.6000","360","Resistor SMD"
"R527","49R9","BottomLayer","0603-Res","115.6000","89.8500","90","Resistor SMD"
"R526","1K","BottomLayer","0603-Res","118.3000","89.7500","270","Resistor SMD"
"R525","49R9","BottomLayer","0603-Res","125.0700","89.7500","90","Resistor SMD"
"R524","2K","BottomLayer","0603-Res","121.6500","86.0000","360","Resistor SMD"
"R523","2K","BottomLayer","0603-Res","51.1500","93.8000","360","Resistor SMD"
"R521","49R9","BottomLayer","0603-Res","44.9000","89.6500","90","Resistor SMD"
"R520","1K","BottomLayer","0603-Res","47.7000","90.0500","90","Resistor SMD"
"R519","49R9","BottomLayer","0603-Res","54.6000","90.0500","270","Resistor SMD"
"R515","49R9","BottomLayer","0603-Res","44.9000","86.7500","90","Resistor SMD"
"R514","1K","BottomLayer","0603-Res","47.7000","86.8500","270","Resistor SMD"
"R513","49R9","BottomLayer","0603-Res","54.6000","86.7500","90","Resistor SMD"
"R510","2K","BottomLayer","0603-Res","51.1500","83.1000","360","Resistor SMD"
"R509","2K","TopLayer","0603-Res","134.4500","81.4000","360","Resistor SMD"
"R508","49R9","TopLayer","0603-Res","127.4500","85.9000","360","Resistor SMD"
"R507","1K","TopLayer","0603-Res","131.1000","85.2500","270","Resistor SMD"
"R506","49R9","TopLayer","0603-Res","137.9000","85.2500","90","Resistor SMD"
"R505","49R9","TopLayer","0603-Res","127.4500","87.6000","360","Resistor SMD"
"R504","1K","TopLayer","0603-Res","131.1000","88.4500","90","Resistor SMD"
"R503","49R9","TopLayer","0603-Res","137.9000","88.4500","270","Resistor SMD"
"R501","2K","TopLayer","0603-Res","134.4500","92.3000","360","Resistor SMD"
"R425","2K","TopLayer","0603-Res","62.8600","85.8000","360","Resistor SMD"
"R423","49R9","TopLayer","0603-Res","56.9000","89.4500","270","Resistor SMD"
"R422","1K","TopLayer","0603-Res","59.5100","89.5500","270","Resistor SMD"
"R421","49R9","TopLayer","0603-Res","66.3100","89.5500","90","Resistor SMD"
"R418","49R9","TopLayer","0603-Res","56.9000","92.6500","90","Resistor SMD"
"R417","1K","TopLayer","0603-Res","59.5100","92.7500","90","Resistor SMD"
"R416","49R9","TopLayer","0603-Res","66.3100","92.7500","270","Resistor SMD"
"R415","2K","TopLayer","0603-Res","62.9600","96.5000","360","Resistor SMD"
"R414","49R9","TopLayer","0603-Res","21.6500","31.8000","180","Resistor SMD"
"R408","49R9","TopLayer","0603-Res","68.9000","83.9500","90","Resistor SMD"
"R325","2K","TopLayer","0603-Res","86.6600","85.8000","360","Resistor SMD"
"R323","49R9","TopLayer","0603-Res","79.7600","90.3000","360","Resistor SMD"
"R322","1K","TopLayer","0603-Res","83.3100","89.5500","270","Resistor SMD"
"R321","49R9","TopLayer","0603-Res","90.1100","89.5500","90","Resistor SMD"
"R318","49R9","TopLayer","0603-Res","79.7500","92.0000","360","Resistor SMD"
"R317","1K","TopLayer","0603-Res","83.3100","92.7500","90","Resistor SMD"
"R316","49R9","TopLayer","0603-Res","90.1100","92.7500","270","Resistor SMD"
"R315","2K","TopLayer","0603-Res","86.7600","96.5000","360","Resistor SMD"
"R314","49R9","TopLayer","0603-Res","21.6500","20.7000","180","Resistor SMD"
"R308","49R9","TopLayer","0603-Res","91.7000","83.8500","90","Resistor SMD"
"R225","2K","TopLayer","0603-Res","110.8500","85.8000","360","Resistor SMD"
"R222","1K","TopLayer","0603-Res","107.5000","89.5500","270","Resistor SMD"
"R221","49R9","TopLayer","0603-Res","114.3000","89.6500","90","Resistor SMD"
"R217","1K","TopLayer","0603-Res","107.5000","92.7500","90","Resistor SMD"
"R216","49R9","TopLayer","0603-Res","114.3000","92.7500","270","Resistor SMD"
"R215","2K","TopLayer","0603-Res","110.9500","96.5000","360","Resistor SMD"
"R214","49R9","TopLayer","0603-Res","21.6500","9.7000","180","Resistor SMD"
"R208","49R9","TopLayer","0603-Res","114.9000","83.8500","90","Resistor SMD"
"IC507","ADA4940-1ARZ","BottomLayer","SOIC-8-N","97.5350","91.2500","270","Fully Differential ADC Drivers (-40-125°C)"
"IC506","ADA4940-1ARZ","BottomLayer","SOIC-8-N","73.6950","90.9500","270","Fully Differential ADC Drivers (-40-125°C)"
"IC505","ADA4940-1ARZ","BottomLayer","SOIC-8-N","121.7050","91.3500","270","Fully Differential ADC Drivers (-40-125°C)"
"IC504","ADA4940-1ARZ","BottomLayer","SOIC-8-N","51.1650","88.4500","270","Fully Differential ADC Drivers (-40-125°C)"
"IC502","ADA4940-1ARZ","TopLayer","SOIC-8-N","134.4950","86.8500","90","Fully Differential ADC Drivers (-40-125°C)"
"IC405","ADA4940-1ARZ","TopLayer","SOIC-8-N","62.9050","91.1500","90","Fully Differential ADC Drivers (-40-125°C)"
"IC305","ADA4940-1ARZ","TopLayer","SOIC-8-N","86.7050","91.1500","90","Fully Differential ADC Drivers (-40-125°C)"
"IC206","ADA4940-1ARZ","TopLayer","SOIC-8-N","110.8950","91.1500","90","Fully Differential ADC Drivers (-40-125°C)"
"C542","22pF","BottomLayer","0603-Cap","97.6500","95.4000","360","Capacitor (SMD)"
"C541","2n2F","BottomLayer","0603-Cap","92.7000","94.0500","270","Capacitor (SMD)"
"C540","2n2F","BottomLayer","0603-Cap","92.7000","91.2500","270","Capacitor (SMD)"
"C539","2n2F","BottomLayer","0603-Cap","92.7000","88.4500","270","Capacitor (SMD)"
"C538","22pF","BottomLayer","0603-Cap","97.5500","87.1000","360","Capacitor (SMD)"
"C537","22pF","BottomLayer","0603-Cap","73.7500","95.1000","360","Capacitor (SMD)"
"C536","2n2F","BottomLayer","0603-Cap","68.9000","93.7500","270","Capacitor (SMD)"
"C535","2n2F","BottomLayer","0603-Cap","68.9000","90.9500","270","Capacitor (SMD)"
"C534","2n2F","BottomLayer","0603-Cap","68.9000","88.1500","270","Capacitor (SMD)"
"C533","22pF","BottomLayer","0603-Cap","121.7500","95.5000","360","Capacitor (SMD)"
"C532","2n2F","BottomLayer","0603-Cap","116.9000","94.4500","270","Capacitor (SMD)"
"C531","22pF","BottomLayer","0603-Cap","73.7500","86.8000","360","Capacitor (SMD)"
"C530","2n2F","BottomLayer","0603-Cap","116.9000","91.6500","270","Capacitor (SMD)"
"C529","2n2F","BottomLayer","0603-Cap","116.9000","88.8500","270","Capacitor (SMD)"
"C528","22pF","BottomLayer","0603-Cap","121.6500","87.2000","360","Capacitor (SMD)"
"C520","22pF","BottomLayer","0603-Cap","51.1500","92.6000","360","Capacitor (SMD)"
"C519","2n2F","BottomLayer","0603-Cap","46.3000","91.3500","270","Capacitor (SMD)"
"C517","2n2F","BottomLayer","0603-Cap","46.3000","88.5500","270","Capacitor (SMD)"
"C516","2n2F","BottomLayer","0603-Cap","46.3000","85.7500","270","Capacitor (SMD)"
"C509","22pF","BottomLayer","0603-Cap","51.1500","84.3000","360","Capacitor (SMD)"
"C508","22pF","TopLayer","0603-Cap","134.4500","82.6000","360","Capacitor (SMD)"
"C507","2n2F","TopLayer","0603-Cap","128.8500","84.6000","360","Capacitor (SMD)"
"C504","2n2F","TopLayer","0603-Cap","129.7000","86.7500","90","Capacitor (SMD)"
"C503","2n2F","TopLayer","0603-Cap","129.7000","89.5500","90","Capacitor (SMD)"
"C501","22pF","TopLayer","0603-Cap","134.4500","91.1000","360","Capacitor (SMD)"
"C432","22pF","TopLayer","0603-Cap","62.8600","87.0000","360","Capacitor (SMD)"
"C431","2n2F","TopLayer","0603-Cap","58.2100","88.2500","90","Capacitor (SMD)"
"C429","2n2F","TopLayer","0603-Cap","58.2100","91.1500","90","Capacitor (SMD)"
"C428","2n2F","TopLayer","0603-Cap","58.2100","94.0500","90","Capacitor (SMD)"
"C427","22pF","TopLayer","0603-Cap","62.9600","95.3000","360","Capacitor (SMD)"
"C426","68pF","TopLayer","0603-Cap","21.6500","33.1000","360","Capacitor (SMD)"
"C421","68pF","TopLayer","0603-Cap","70.2000","83.9500","270","Capacitor (SMD)"
"C332","22pF","TopLayer","0603-Cap","86.6600","87.0000","360","Capacitor (SMD)"
"C331","2n2F","TopLayer","0603-Cap","81.9100","88.2500","90","Capacitor (SMD)"
"C329","2n2F","TopLayer","0603-Cap","81.9100","91.1500","90","Capacitor (SMD)"
"C328","2n2F","TopLayer","0603-Cap","81.9100","94.0500","90","Capacitor (SMD)"
"C327","22pF","TopLayer","0603-Cap","86.7600","95.3000","360","Capacitor (SMD)"
"C326","68pF","TopLayer","0603-Cap","21.6500","22.0000","360","Capacitor (SMD)"
"C321","68pF","TopLayer","0603-Cap","93.0000","83.8500","270","Capacitor (SMD)"
"C237","22pF","TopLayer","0603-Cap","110.8500","87.0000","360","Capacitor (SMD)"
"C232","22pF","TopLayer","0603-Cap","110.9500","95.3000","360","Capacitor (SMD)"
"C231","68pF","TopLayer","0603-Cap","21.6500","11.0000","360","Capacitor (SMD)"
"C221","68pF","TopLayer","0603-Cap","116.2000","83.8500","270","Capacitor (SMD)"
"C527","1µF/630V","BottomLayer","2220-Cap","133.4000","54.0500","270","Capacitor (SMD)"
"D101","B160","TopLayer","SMA","13.8750","72.3000","180","Schottky Barrier Rectifier Vr=60V If=1A"
"R412","20K","BottomLayer","0603-Res","51.7500","15.1000","180","Resistor SMD"
"R413","220R","BottomLayer","0603-Res","49.4000","14.3500","90","Resistor SMD"
"R407","470R","TopLayer","0603-Res","19.5500","83.3000","180","Resistor SMD"
"R405","15K","BottomLayer","0603-Res","51.7500","33.6000","180","Resistor SMD"
"R404","470R","TopLayer","0603-Res","19.5500","78.7000","180","Resistor SMD"
"R402","470R","TopLayer","0603-Res","19.5500","92.3000","180","Resistor SMD"
"R406","220R","BottomLayer","0603-Res","49.4000","32.7500","90","Resistor SMD"
"R401","470R","TopLayer","0603-Res","19.5500","87.8000","180","Resistor SMD"
"R312","20K","BottomLayer","0603-Res","78.7500","15.1000","180","Resistor SMD"
"R313","220R","BottomLayer","0603-Res","76.4000","12.5500","270","Resistor SMD"
"R307","470R","TopLayer","0603-Res","26.0500","83.3000","180","Resistor SMD"
"R305","15K","BottomLayer","0603-Res","78.7500","33.6000","180","Resistor SMD"
"R304","470R","TopLayer","0603-Res","26.0500","78.7000","180","Resistor SMD"
"R302","470R","TopLayer","0603-Res","25.9500","92.3000","180","Resistor SMD"
"R306","220R","BottomLayer","0603-Res","76.4000","32.7500","90","Resistor SMD"
"R301","470R","TopLayer","0603-Res","26.0500","87.8000","180","Resistor SMD"
"Q402","LMG3425R030RQZT","BottomLayer","VQFN-54_(RQZ0054)","60.0000","14.7500","270","GaN FET Power Stage With Cycle-by-cycle Overcurrent Protection 600V/40A/30mOhm"
"Q401","LMG3425R030RQZT","BottomLayer","VQFN-54_(RQZ0054)","60.0000","33.2500","270","GaN FET Power Stage With Cycle-by-cycle Overcurrent Protection 600V/40A/30mOhm"
"Q302","LMG3425R030RQZT","BottomLayer","VQFN-54_(RQZ0054)","87.0000","14.7500","270","GaN FET Power Stage With Cycle-by-cycle Overcurrent Protection 600V/40A/30mOhm"
"Q301","LMG3425R030RQZT","BottomLayer","VQFN-54_(RQZ0054)","87.0000","33.2500","270","GaN FET Power Stage With Cycle-by-cycle Overcurrent Protection 600V/40A/30mOhm"
